tamaño sector numero.cifin Ebitda.ActivoTotal UtilNeta.Patrimonio Razón.Corriente Ciclo.Efectivo Pasivo.Ventas Pasivo.Activos Pasivo.total Default Saldos
M             4             10            -0.069098328  -0.069098328   1.12238810   2.241344e+01   0.29680566   0.84440400     0.2338986426 1             7.979649e+08 
P             4             10             0.142176871   0.142176871   2.41373239   1.790659e+02   0.42384387   0.67959184    -0.5448504983 0             1.032758e+08 
P             4             10             0.340507138   0.340507138   1.69345119   4.206463e+01   0.14833135   0.53036437     4.2110091743 0             6.972611e+07 
G             3             10             0.030223282   0.030223282   1.82807227   8.411939e+01   0.31698531   0.35580990     0.6602768903 0             2.331038e+08 
G             2             10             0.059373279   0.059373279   1.68361622   3.127369e+01   0.18156855   0.44317923    -0.7869225848 0             3.519469e+07 
M             2             10             0.061764706   0.061764706   1.24927007   2.337595e+02   0.68380334   0.73271828     1.7335640138 0             1.015040e+08 
M             3             10             0.039135951   0.039135951   1.97493908   1.025103e+02   0.25003931   0.34601275    -0.6143688769 0             1.482653e+08 
G             2              2             0.015288127   0.015288127   1.84968990   1.600415e+02   2.44734817   0.71116899     0.0152332029 0             4.308611e+07 
G             4             10             0.102764855   0.102764855   2.00198980   2.340820e+02   0.46755209   0.58404013     0.7990381917 0             4.404376e+07 
P             3             10             0.013124464   0.013124464   3.43007868   1.727761e+01   0.05408995   0.15016783    -1.0000000000 0             8.243831e+08 
P             3              4             0.066666667   0.066666667   1.63617677   7.115172e+01   0.28951790   0.47088501    -0.0604229607 0             1.110615e+09 
P             4             10             0.068555578   0.068555578   2.10423826   3.315034e+02   0.61312556   0.44085326     0.0286885246 0             3.152909e+08 
M             2             10             0.274795690   0.274795690   3.43732728   2.199665e+02   0.37816243   0.55778656     0.1385928090 0             3.850813e+08 
P             2              4             0.116763006   0.116763006   3.10077519   1.966493e+02   0.36692615   0.40323699    -0.1194690265 0             8.238419e+07 
M             4             10             0.093382808   0.093382808   1.14932295   4.415419e+01   0.44358515   0.84245516     0.0000000000 0             1.022865e+08 
P             3             10             0.259167697   0.259167697   2.08333333   3.111111e+01   0.22157245   0.14050268    -0.6790824916 0             4.351008e+08 
M             2             10             0.066090562   0.066090562   5.56926469   1.849514e+02   0.13160954   0.16242610    -0.8275159356 0             1.804049e+08 
M             2             10             0.123591280   0.123591280   2.71017717   1.465296e+02   0.20067084   0.28271289     1.0693724335 0             4.957745e+08 
P             4             10             0.137698604   0.137698604   1.39001350   1.331474e+02   0.34854186   0.71352913     0.2094594595 0             2.469152e+07 
P             1             10             0.060514878   0.060514878   1.53441296   9.614285e+01   0.31577992   0.59009162    -0.2001588562 0             3.984404e+08 
G             4              1             0.030059687   0.030059687   0.93764653   8.661609e+01   1.05866184   0.90925318     0.0258051923 0             1.519994e+08 
P             2             10             0.199075857   0.199075857   1.76535088   3.242927e+02   0.50673401   0.59415713     0.1064366069 0             1.175090e+08 
P             2              2             0.300091075   0.300091075   1.93393393   3.431196e+01   0.20766284   0.37021858    -0.0957446809 0             1.654996e+08 
P             4             10             0.034090394   0.034090394   0.96762892   3.125671e+01   0.69315577   0.94124104    -0.4342621737 0             5.945540e+07 
P             2             10             0.087400681   0.087400681   2.14349376   2.320937e+02   0.39643085   0.47067726     0.8500000000 0             3.943592e+06 
P             4             10             0.214828897   0.214828897   1.94318182   1.261338e+02   0.22233451   0.41825095     1.3800000000 0             5.151673e+07 
P             2             10             0.172918230   0.172918230   1.30621172   1.532775e+02   0.33411283   0.44336695     0.2571579017 0             3.368681e+07 
